p.id,p.name,category,price($)
SK1001-01,beauty cosme,skincare,50.1
SK1001-02,silk,skincare,20.5
SK1001-03,7in1,skincare,100.1
DEO2001-01,Axe,deodrant,10.4
DEO2001-02,Deo for men,deodrant,6.6
DEO2001-03,Hygine,deodrant,3
DEO2001-04,Neo,deodrant,18
SP3001-01,Harbarom,shampoo,22.3
SP3001-02,Nutumage,shampoo,18.8
SP3001-03,Ninag,shampoo,19
SP3001-04,Opo,shampoo,22
SP3001-05,MAKE,shampoo,10.5
LD1001-01,Atttack,landry,18.6
LD1001-02,Ultra,landry,11
LD1001-03,Hygine,landry,5
LD1001-04,fafa,landry,3.6
LD1001-05,Miracle,landry,11
